Futterart;Bestand;code;Aufwuchs;Stadium;TS [g];NEL    [MJ];NEV   [MJ];UE [MJ];APDE [g];APDN [g];OS [g];RP [g];RF [g];NDF [g];ADF   [g];Zucker [g];vOS [%];aRP [%];RA [g];Ca [g];P [g];Mg [g];K [g];Na [g];Cl  [g];S  [g];Cu  [mg];Fe  [mg];Mn  [mg];Zn  [mg];Co  [mg];Se  [mg]; [];Lysin [g/kg TS];Methionin [g/kg TS];Leucin [g/kg TS];Histidin [g/kg TS];Phenylalanin [g/kg TS];Threonin [g/kg TS];Isoleucin [g/kg TS];Valin [g/kg TS];Arginin [g/kg TS]
Dürrfutter;A;E12-s;erster;2;880;6.2;6.4;10.6;102.4;114.0;904;178.1;198.2;382;227;129.9;76.8;70;95.5;4.8;3.6;1.6;29.4;0.2;3.4;1.9;6.8;125;67;23;0.05;0.02;;;;;;;;;;
Dürrfutter;A;E13-s;erster;3;880;5.9;6.0;10.1;93.8;90.5;907;142.1;230.2;428;258;124.4;73.9;67;92.5;4.8;3.4;1.4;27.9;0.2;3.4;1.6;5.9;125;59;21;0.05;0.02;;;;;;;;;;
Dürrfutter;A;E14-s;erster;4;880;5.5;5.5;9.5;85.6;75.5;909;119.3;265.7;469;299;101.2;69.6;64;91.8;4.8;3.1;1.3;25.4;0.2;3.3;1.4;5.2;125;52;20;0.05;0.02;;;;;;;;;;
Dürrfutter;A;E15-s;erster;5;880;5.0;4.9;8.8;78.1;66.3;909;105.2;281.5;488;319;94.5;64.2;63;90.6;4.8;2.8;1.2;22.1;0.2;2.9;1.2;4.7;75;46;18;0.05;0.02;;;;;;;;;;
Dürrfutter;A;E16-s;erster;6;880;4.7;4.4;8.3;71.1;54.7;910;87.4;306.5;522;353;89.3;60.5;61;87.8;4.8;2.5;1.2;17.9;0.1;2.3;1.1;4.4;75;41;18;0.05;0.02;;;;;;;;;;
Dürrfutter;A;E17-s;erster;7;880;4.4;4.1;7.9;66.1;47.7;911;76.7;326.2;548;384;88.9;57.5;60;85.8;4.8;2.2;1.2;12.8;0.1;1.4;1.0;4.3;75;37;17;0.05;0.02;;;;;;;;;;
Dürrfutter;AR;ER11-s;erster;1;880;6.4;6.6;10.8;104.3;115.2;905;180.0;159.0;324;189;207.2;78.5;70;94.3;4.8;3.8;1.7;30.0;0.2;4.3;2.1;7.3;200;57;25;0.15;0.02;;;;;;;;;;
Dürrfutter;AR;ER12-s;erster;2;880;6.4;6.6;10.8;102.4;107.3;904;167.8;181.3;347;209;168.6;78.7;69;94.2;4.8;3.6;1.6;29.4;0.2;4.6;1.9;6.2;125;48;22;0.05;0.02;;;;;;;;;;
Dürrfutter;AR;ER13-s;erster;3;880;6.2;6.4;10.6;95.9;87.5;910;137.6;208.5;381;236;169.4;77.2;66;89.4;4.8;3.4;1.4;27.9;0.2;4.6;1.6;5.3;125;40;20;0.05;0.02;;;;;;;;;;
Dürrfutter;AR;ER14-s;erster;4;880;5.9;6.1;10.2;88.1;70.9;911;112.2;241.7;426;276;147.0;74.2;64;89.6;4.8;3.1;1.3;25.4;0.2;4.5;1.4;4.6;125;33;18;0.05;0.02;;;;;;;;;;
Dürrfutter;AR;ER15-s;erster;5;880;5.4;5.3;9.4;80.0;61.7;912;98.2;265.8;457;302;128.3;68.1;62;88.1;4.8;2.8;1.2;22.1;0.2;4.1;1.2;4.1;75;26;17;0.05;0.02;;;;;;;;;;
Dürrfutter;L;L11-s;erster;1;880;6.5;6.7;10.9;110.4;142.3;892;221.8;139.7;276;178;136.5;78.8;72;105.3;7.9;3.3;2.0;26.3;0.2;4.3;2.7;8.0;200;77;26;0.15;0.02;;;;;;;;;;
Dürrfutter;L;L12-s;erster;2;880;6.4;6.6;10.8;107.6;132.3;895;206.3;162.8;299;202;111.2;78.2;71;103.5;7.9;3.1;1.8;25.8;0.2;4.6;2.5;6.8;125;67;23;0.05;0.02;;;;;;;;;;
Dürrfutter;L;L13-s;erster;3;880;6.3;6.5;10.7;104.2;119.5;896;186.7;181.5;320;220;111.1;77.7;70;101.0;7.9;2.9;1.6;24.4;0.2;4.6;2.2;5.9;125;59;21;0.05;0.02;;;;;;;;;;
Dürrfutter;L;L14-s;erster;4;880;6.0;6.1;10.2;98.1;105.1;902;164.4;211.6;349;254;109.7;74.9;69;100.4;7.9;2.7;1.5;22.2;0.2;4.5;2.0;5.2;125;52;20;0.05;0.02;;;;;;;;;;
Dürrfutter;L;L15-s;erster;5;880;5.6;5.5;9.6;91.8;93.8;907;147.2;237.2;379;285;90.6;70.5;67;92.9;7.9;2.4;1.4;19.2;0.2;4.1;1.9;4.7;75;46;18;0.05;0.02;;;;;;;;;;
Dürrfutter;KF;DF11-s;erster;1;880;6.2;6.4;10.6;101.7;110.3;900;172.4;138.8;252;174;188.8;77.5;69;100.3;6.0;4.1;2.3;31.1;0.2;3.1;2.1;9.1;200;57;30;0.15;0.02;;;;;;;;;;
Dürrfutter;KF;DF12-s;erster;2;880;6.2;6.4;10.5;100.0;105.2;897;164.6;157.8;267;189;152.9;77.4;69;103.3;6.0;3.8;2.1;30.5;0.2;3.4;1.9;8.0;125;48;27;0.05;0.02;;;;;;;;;;
Dürrfutter;KF;DF13-s;erster;3;880;6.0;6.2;10.3;93.5;86.1;897;135.4;179.2;300;217;135.8;76.0;66;102.3;6.0;3.6;1.9;29.0;0.2;3.4;1.6;7.0;125;40;25;0.05;0.02;;;;;;;;;;
Dürrfutter;KF;DF14-s;erster;4;880;5.8;6.0;10.0;87.3;72.4;893;114.4;201.7;322;246;114.3;74.3;64;107.4;6.0;3.3;1.8;26.5;0.2;3.3;1.4;6.3;125;33;24;0.05;0.02;;;;;;;;;;
Dürrfutter;KF;DF15-s;erster;5;880;5.7;5.8;9.7;84.2;67.3;890;106.7;205.5;327;255;100.4;72.7;63;109.9;6.0;3.1;1.7;23.2;0.2;2.9;1.2;5.8;75;26;22;0.05;0.02;;;;;;;;;;
Dürrfutter;KF;DF16-s;erster;6;880;5.5;5.5;9.5;78.3;55.3;888;88.3;215.2;341;277;93.6;71.0;61;116.0;6.0;2.8;1.7;19.0;0.1;2.3;1.1;5.5;75;21;22;0.05;0.02;;;;;;;;;;
Dürrfutter;KF;DF17-s;erster;7;880;5.3;5.4;9.2;73.6;46.2;886;74.3;218.3;349;294;91.9;69.8;60;122.1;6.0;2.4;1.7;13.8;0.1;1.4;1.0;5.4;75;17;21;0.05;0.02;;;;;;;;;;
Dürrfutter;KG;DT11-s;erster;1;880;5.8;5.9;10.0;96.3;104.8;881;163.9;160.6;272;198;165.0;74.7;69;120.0;8.4;4.2;2.1;31.2;0.2;3.1;2.4;9.1;200;57;30;0.15;0.02;;;;;;;;;;
Dürrfutter;KG;DT12-s;erster;2;880;5.7;5.8;9.8;93.3;97.3;880;152.5;173.0;290;212;153.7;73.6;68;119.9;8.4;4.0;1.8;30.5;0.2;3.4;2.1;8.0;125;48;27;0.05;0.02;;;;;;;;;;
Dürrfutter;KG;DT13-s;erster;3;880;5.5;5.5;9.5;89.0;87.1;881;136.9;186.0;313;230;150.9;71.8;66;118.6;8.4;3.7;1.7;29.0;0.2;3.4;1.9;7.0;125;40;25;0.05;0.02;;;;;;;;;;
Dürrfutter;KG;DT14-s;erster;4;880;5.1;5.0;8.9;83.1;79.8;884;125.8;198.1;322;240;142.7;67.1;65;117.0;8.4;3.4;1.5;26.6;0.2;3.3;1.7;6.3;125;33;24;0.05;0.02;;;;;;;;;;
Dürrfutter;KG;DT15-s;erster;5;880;4.6;4.4;8.3;77.4;75.0;883;118.3;202.4;331;250;142.7;62.1;65;117.0;8.4;3.1;1.4;23.2;0.2;2.9;1.5;5.8;75;26;22;0.05;0.02;;;;;;;;;;
Dürrfutter;KG;DT16-s;erster;6;880;4.5;4.3;8.1;75.1;70.3;884;111.2;208.0;336;259;134.3;60.9;64;114.4;8.4;2.8;1.4;19.0;0.1;2.3;1.4;5.5;75;21;22;0.05;0.02;;;;;;;;;;
Dürrfutter;KG;DT17-s;erster;7;880;4.5;4.3;8.0;73.7;67.6;885;107.1;210.3;337;265;128.8;60.3;63;112.2;8.4;2.4;1.4;13.9;0.1;1.4;1.2;5.4;75;17;21;0.05;0.02;;;;;;;;;;
Dürrfutter;Knaulgras;DG11-s;erster;1;880;6.4;6.5;10.8;111.0;148.2;904;231.1;195.9;458;227;169.8;76.8;73;95.8;3.7;4.9;1.7;42.5;;;;;;;;;;;;;;;;;;;
Dürrfutter;Knaulgras;DG12-s;erster;2;880;6.2;6.4;10.6;103.7;118.6;910;185.3;223.5;475;241;136.6;76.3;70;90.0;3.2;4.5;1.5;42.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Knaulgras;DG13-s;erster;3;880;5.9;6.0;10.2;92.0;83.0;916;130.8;275.5;541;287;140.6;73.7;65;83.9;2.8;3.8;1.4;37.6;;;;;;;;;;;;;;;;;;;
Dürrfutter;Knaulgras;DG14-s;erster;4;880;5.6;5.6;9.6;82.4;63.6;919;101.2;322.4;596;341;95.9;69.6;62;80.9;2.5;3.4;1.2;35.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Knaulgras;DG15-s;erster;5;880;5.3;5.2;9.2;76.1;52.7;926;84.4;341.4;619;362;108.0;66.2;60;74.2;2.3;3.0;1.2;32.5;;;;;;;;;;;;;;;;;;;
Dürrfutter;Englisches Raigras ;LP11-s;erster;1;880;6.6;6.8;11.1;103.4;102.7;920;160.9;182.5;386;203;293.2;80.0;68;80.2;3.6;3.9;1.5;32.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Englisches Raigras ;LP12-s;erster;2;880;6.6;6.9;11.1;102.3;98.1;922;153.8;198.0;404;218;226.6;80.1;67;78.3;3.5;4.1;1.4;36.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Englisches Raigras ;LP13-s;erster;3;880;6.4;6.7;10.9;92.9;71.6;925;113.4;231.5;445;248;239.9;78.3;64;75.4;3.3;3.7;1.2;32.3;;;;;;;;;;;;;;;;;;;
Dürrfutter;Englisches Raigras ;LP14-s;erster;4;880;6.0;6.2;10.3;82.2;51.0;929;81.8;270.3;520;295;194.6;73.8;60;71.6;3.2;3.3;1.1;30.5;;;;;;;;;;;;;;;;;;;
Dürrfutter;Englisches Raigras ;LP15-s;erster;5;880;5.1;5.0;9.0;70.0;39.7;933;64.4;320.0;578;342;156.8;64.3;58;67.0;2.9;2.7;1.1;26.5;;;;;;;;;;;;;;;;;;;
Dürrfutter;Italienisches Raigras;LM11-s;erster;1;880;6.6;6.9;11.1;98.7;86.7;916;136.3;166.3;344;187;264.0;80.3;66;84.6;4.4;3.6;1.5;34.9;;;;;;;;;;;;;;;;;;;
Dürrfutter;Italienisches Raigras;LM12-s;erster;2;880;6.4;6.6;10.8;90.9;67.2;920;106.7;194.3;397;227;233.8;78.0;63;80.2;4.2;3.2;1.4;32.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Italienisches Raigras;LM13-s;erster;3;880;6.2;6.5;10.6;84.7;53.3;924;85.4;227.5;433;250;257.3;76.1;60;75.7;4.1;2.9;1.3;30.2;;;;;;;;;;;;;;;;;;;
Dürrfutter;Italienisches Raigras;LM14-s;erster;4;880;5.6;5.6;9.7;73.6;39.0;928;63.2;265.1;473;291;242.6;69.3;58;72.5;4.0;2.3;1.2;23.6;;;;;;;;;;;;;;;;;;;
Dürrfutter;Italienisches Raigras;LM15-s;erster;5;880;4.8;4.6;8.5;63.9;32.5;936;53.0;277.5;508;302;239.1;60.7;56;68.1;3.9;1.9;1.1;21.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Wiesen-Fuchsschwanz;AP11-s;erster;1;880;6.4;6.6;10.8;103.1;108.4;921;169.6;231.3;466;254;141.2;77.7;69;79.3;2.9;4.3;1.4;33.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Wiesen-Fuchsschwanz;AP12-s;erster;2;880;5.9;5.9;10.1;95.2;94.6;921;148.5;280.9;543;303;90.8;73.0;67;79.2;2.8;3.9;1.3;33.2;;;;;;;;;;;;;;;;;;;
Dürrfutter;Wiesen-Fuchsschwanz;AP13-s;erster;3;880;5.0;4.9;8.9;79.2;68.4;922;108.5;313.3;612;343;78.3;63.8;63;78.5;2.6;3.2;1.3;31.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Wiesen-Fuchsschwanz;AP14-s;erster;4;880;3.9;3.5;7.2;65.7;59.0;925;94.2;359.0;668;386;57.2;51.5;61;74.7;2.6;2.9;1.2;30.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Wiesen-Fuchsschwanz;AP15-s;erster;5;880;3.5;3.0;6.5;58.4;50.7;927;81.3;370.6;688;401;55.2;46.5;60;73.2;2.5;2.4;1.2;26.3;;;;;;;;;;;;;;;;;;;
Dürrfutter;Weissklee;TR11-s;erster;1;880;6.5;6.7;11.0;115.2;164.1;879;255.8;117.6;237;166;79.9;79.2;74;116.3;14.6;4.2;1.8;33.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Weissklee;TR12-s;erster;2;880;6.4;6.6;10.9;111.6;151.2;887;235.7;142.6;261;193;69.5;78.4;73;113.3;14.5;4.2;1.9;34.7;;;;;;;;;;;;;;;;;;;
Dürrfutter;Weissklee;TR13-s;erster;3;880;6.4;6.6;10.8;110.8;148.2;892;231.1;151.0;262;201;70.9;77.8;73;108.0;14.6;4.1;1.9;36.0;;;;;;;;;;;;;;;;;;;
Dürrfutter;Weissklee;TR14-s;erster;4;880;6.0;6.2;10.4;105.7;138.7;893;216.3;171.4;265;218;91.0;74.9;72;113.0;14.7;4.0;2.0;37.1;;;;;;;;;;;;;;;;;;;
Dürrfutter;Weissklee;TR15-s;erster;5;880;5.6;5.7;9.8;99.0;124.1;888;193.7;199.0;294;255;68.8;71.2;71;111.9;14.8;3.8;2.0;37.9;;;;;;;;;;;;;;;;;;;
Dürrfutter;Rotklee;TP11-s;erster;1;880;6.0;6.1;10.4;106.8;142.8;899;222.6;139.0;229;167;91.3;73.9;72;100.8;13.8;3.7;2.6;29.9;;;;;;;;;;;;;;;;;;;
Dürrfutter;Rotklee;TP12-s;erster;2;880;6.1;6.3;10.5;104.8;128.5;904;200.6;168.8;269;208;94.0;75.2;71;96.0;14.2;3.4;2.6;31.3;;;;;;;;;;;;;;;;;;;
Dürrfutter;Rotklee;TP13-s;erster;3;880;5.9;6.0;10.2;100.1;113.9;908;178.0;190.5;303;226;93.0;73.7;69;92.2;14.5;3.2;2.6;29.6;;;;;;;;;;;;;;;;;;;
Dürrfutter;Rotklee;TP14-s;erster;4;880;5.3;5.3;9.3;89.3;91.7;911;144.0;249.4;379;301;101.2;67.9;67;89.1;14.5;2.6;2.5;27.8;;;;;;;;;;;;;;;;;;;
Dürrfutter;Rotklee;TP15-s;erster;5;880;4.9;4.7;8.7;84.0;87.2;913;137.2;277.9;418;328;86.2;63.1;66;87.6;14.4;2.3;2.4;25.4;;;;;;;;;;;;;;;;;;;
Dürrfutter;Luzerne;MS11-s;erster;1;880;6.1;6.2;10.5;111.4;162.1;888;252.8;134.2;198;159;76.0;74.8;74;112.5;18.5;4.0;3.0;37.4;;;;;;;;;;;;;;;;;;;
Dürrfutter;Luzerne;MS12-s;erster;2;880;5.9;6.0;10.2;108.0;154.7;887;241.1;170.3;252;206;59.4;73.0;73;112.6;17.4;4.3;2.8;36.2;;;;;;;;;;;;;;;;;;;
Dürrfutter;Luzerne;MS13-s;erster;3;880;5.7;5.7;9.9;103.4;142.7;889;222.5;206.6;313;257;48.5;70.7;72;110.6;16.5;4.2;2.7;35.8;;;;;;;;;;;;;;;;;;;
Dürrfutter;Luzerne;MS14-s;erster;4;880;5.3;5.2;9.3;97.4;130.1;894;203.0;260.1;376;315;44.4;66.7;71;105.4;15.8;3.8;2.5;32.4;;;;;;;;;;;;;;;;;;;
Dürrfutter;Luzerne;MS15-s;erster;5;880;4.8;4.6;8.6;88.6;111.3;902;174.0;319.3;440;367;45.0;61.4;69;97.6;15.4;3.5;2.3;30.6;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;G;G11-d;erster;1;880;6.9;7.3;11.6;125.8;147.1;898;226.0;176.4;403;217;176.7;83.1;66;101.7;5.1;3.8;1.8;28.5;0.2;3.1;2.1;8.9;200;77;29;0.15;0.02;;;;;;;;;;
künstlich getrocknet;G;G12-d;erster;2;880;6.6;6.9;11.2;116.0;125.8;898;194.1;204.7;433;240;140.2;81.2;65;101.0;5.1;3.6;1.6;27.9;0.2;3.4;1.9;7.6;125;67;26;0.05;0.02;;;;;;;;;;
künstlich getrocknet;G;G13-d;erster;3;880;6.0;6.2;10.3;99.9;94.3;904;147.3;242.7;487;277;137.3;75.9;63;95.2;5.1;3.4;1.4;26.4;0.3;3.4;1.6;6.6;125;59;24;0.05;0.02;;;;;;;;;;
künstlich getrocknet;G;G14-d;erster;4;880;5.4;5.4;9.5;87.3;75.9;906;119.8;281.4;535;321;105.3;69.4;61;94.4;5.1;3.1;1.3;24.0;0.2;3.3;1.4;5.8;125;52;22;0.05;0.02;;;;;;;;;;
künstlich getrocknet;G;G15-d;erster;5;880;4.9;4.7;8.6;77.2;63.8;908;101.7;300.7;556;341;103.5;63.0;60;92.1;5.1;2.8;1.2;20.6;0.2;2.9;1.2;5.2;75;46;20;0.05;0.02;;;;;;;;;;
künstlich getrocknet;GR;GR11-d;erster;1;880;7.0;7.4;11.6;118.1;122.9;902;189.8;161.1;361;197;246.0;84.6;65;97.4;5.1;3.8;1.8;28.5;0.2;4.3;2.1;8.2;200;57;27;0.15;0.02;;;;;;;;;;
künstlich getrocknet;GR;GR12-d;erster;2;880;6.9;7.2;11.5;114.7;115.7;900;179.1;181.6;383;216;198.2;83.8;64;97.1;5.1;3.6;1.6;27.9;0.2;4.6;1.9;6.9;125;48;25;0.05;0.02;;;;;;;;;;
künstlich getrocknet;GR;GR13-d;erster;3;880;6.5;6.8;11.0;102.0;89.6;906;140.3;213.1;423;246;205.9;80.3;63;92.8;5.1;3.4;1.4;26.4;0.3;4.6;1.6;5.9;125;40;22;0.05;0.02;;;;;;;;;;
künstlich getrocknet;GR;GR14-d;erster;4;880;6.1;6.3;10.4;90.4;68.5;910;108.9;247.0;477;288;170.9;76.2;61;89.9;5.1;3.1;1.3;24.0;0.2;4.5;1.4;5.1;125;33;20;0.05;0.02;;;;;;;;;;
künstlich getrocknet;GR;GR15-d;erster;5;880;5.4;5.4;9.4;79.5;56.9;912;91.3;278.9;515;321;149.2;68.7;60;88.3;5.1;2.8;1.2;20.6;0.2;4.1;1.2;4.5;75;26;19;0.05;0.02;;;;;;;;;;
künstlich getrocknet;A;E11-d;erster;1;880;6.8;7.2;11.4;124.1;144.8;895;222.4;160.4;353;202;170.2;82.5;65;104.4;6.8;3.8;1.9;30.0;0.2;3.1;2.1;8.9;200;77;29;0.15;0.02;;;;;;;;;;
künstlich getrocknet;A;E12-d;erster;2;880;6.5;6.8;11.1;115.6;126.8;896;195.5;186.7;381;226;137.2;80.4;65;103.2;6.8;3.6;1.7;29.4;0.2;3.4;1.9;7.6;125;67;26;0.05;0.02;;;;;;;;;;
künstlich getrocknet;A;E13-d;erster;3;880;6.2;6.4;10.5;103.1;100.0;899;155.7;217.6;427;258;130.0;77.4;63;100.1;6.8;3.4;1.6;27.9;0.2;3.4;1.6;6.6;125;59;24;0.05;0.02;;;;;;;;;;
künstlich getrocknet;A;E14-d;erster;4;880;5.7;5.7;9.8;92.0;82.9;901;130.3;252.4;468;299;108.2;72.1;62;99.7;6.8;3.1;1.4;25.4;0.2;3.3;1.4;5.8;125;52;22;0.05;0.02;;;;;;;;;;
künstlich getrocknet;A;E15-d;erster;5;880;5.2;5.1;9.0;83.1;71.9;900;113.9;270.0;487;319;101.3;66.6;61;100.1;6.8;2.8;1.3;22.1;0.2;2.9;1.2;5.2;75;46;20;0.05;0.02;;;;;;;;;;
künstlich getrocknet;AR;ER11-d;erster;1;880;6.8;7.1;11.4;118.4;128.8;897;198.5;148.1;323;189;221.0;82.7;65;101.7;6.8;3.8;1.9;30.0;0.2;4.3;2.1;8.2;200;57;27;0.15;0.02;;;;;;;;;;
künstlich getrocknet;AR;ER12-d;erster;2;880;6.7;7.0;11.2;114.4;119.7;896;184.9;169.4;346;209;178.4;82.1;64;101.8;6.8;3.6;1.7;29.4;0.2;4.6;1.9;6.9;125;48;25;0.05;0.02;;;;;;;;;;
künstlich getrocknet;AR;ER13-d;erster;3;880;6.5;6.8;10.9;104.4;96.4;901;150.3;195.5;381;236;179.5;80.5;63;97.8;6.8;3.4;1.6;27.9;0.2;4.6;1.6;5.9;125;40;22;0.05;0.02;;;;;;;;;;
künstlich getrocknet;AR;ER14-d;erster;4;880;6.1;6.3;10.5;94.0;77.4;903;122.0;228.7;425;275;155.7;76.9;62;97.4;6.8;3.1;1.4;25.4;0.2;4.5;1.4;5.1;125;33;20;0.05;0.02;;;;;;;;;;
künstlich getrocknet;AR;ER15-d;erster;5;880;5.5;5.5;9.5;83.8;66.4;903;105.6;254.0;456;301;136.0;70.0;61;97.6;6.8;2.8;1.3;22.1;0.2;4.1;1.2;4.5;75;26;19;0.05;0.02;;;;;;;;;;
künstlich getrocknet;L;L11-d;erster;1;880;6.6;6.9;11.1;127.5;160.4;884;245.9;128.6;275;178;144.8;80.2;66;113.5;11.2;3.3;2.2;26.3;0.2;4.3;2.7;8.9;200;77;29;0.15;0.02;;;;;;;;;;
künstlich getrocknet;L;L12-d;erster;2;880;6.5;6.8;11.0;122.6;147.6;887;226.6;151.9;299;201;118.2;80.0;66;111.9;11.2;3.1;2.0;25.8;0.2;4.6;2.5;7.6;125;67;26;0.05;0.02;;;;;;;;;;
künstlich getrocknet;L;L13-d;erster;3;880;6.5;6.7;10.9;116.9;133.0;887;204.8;169.6;320;220;118.2;79.8;65;110.4;11.2;2.9;1.8;24.4;0.2;4.6;2.2;6.6;125;59;24;0.05;0.02;;;;;;;;;;
künstlich getrocknet;L;L14-d;erster;4;880;6.2;6.3;10.5;108.4;116.3;895;179.9;200.0;349;253;116.6;77.1;64;109.1;11.2;2.7;1.6;22.2;0.2;4.5;2.0;5.8;125;52;22;0.05;0.02;;;;;;;;;;
künstlich getrocknet;L;L15-d;erster;5;880;5.7;5.7;9.8;99.9;103.5;898;160.8;226.3;379;284;95.4;72.2;64;102.5;11.2;2.4;1.5;19.2;0.2;4.1;1.9;5.2;75;46;20;0.05;0.02;;;;;;;;;;
künstlich getrocknet;KF;DF11-d;erster;1;880;6.4;6.7;10.9;113.3;122.8;891;189.6;127.2;251;173;201.2;79.9;65;107.3;8.6;4.1;2.5;31.1;0.2;3.1;2.1;10.1;200;57;33;0.15;0.02;;;;;;;;;;
künstlich getrocknet;KF;DF12-d;erster;2;880;6.4;6.6;10.8;110.4;116.8;888;180.5;145.1;267;189;162.9;79.4;64;110.6;8.6;3.8;2.3;30.5;0.2;3.4;1.9;8.8;125;48;31;0.05;0.02;;;;;;;;;;
künstlich getrocknet;KF;DF13-d;erster;3;880;6.2;6.4;10.5;101.3;94.9;889;148.0;166.3;300;217;144.8;78.5;63;109.7;8.6;3.6;2.1;29.0;0.2;3.4;1.6;7.8;125;40;28;0.05;0.02;;;;;;;;;;
künstlich getrocknet;KF;DF14-d;erster;4;880;6.0;6.2;10.3;93.6;79.6;885;125.3;188.4;322;246;122.3;76.9;62;115.3;8.6;3.3;2.0;26.5;0.2;3.3;1.4;7.0;125;33;26;0.05;0.02;;;;;;;;;;
künstlich getrocknet;KF;DF15-d;erster;5;880;5.9;6.0;10.0;89.5;73.1;882;115.5;193.8;327;255;106.4;75.4;61;118.5;8.6;3.1;1.9;23.2;0.2;2.9;1.2;6.5;75;26;25;0.05;0.02;;;;;;;;;;
künstlich getrocknet;KG;DT11-d;erster;1;880;6.1;6.3;10.4;108.1;117.0;873;180.8;147.4;271;197;175.1;78.0;65;127.0;12.1;4.2;2.3;31.2;0.2;3.1;2.4;10.1;200;57;33;0.15;0.02;;;;;;;;;;
künstlich getrocknet;KG;DT12-d;erster;2;880;6.0;6.1;10.2;103.7;108.5;872;168.1;159.4;290;212;163.1;76.8;64;127.0;12.1;4.0;2.0;30.5;0.2;3.4;2.1;8.8;125;48;31;0.05;0.02;;;;;;;;;;
künstlich getrocknet;KG;DT13-d;erster;3;880;5.8;5.9;9.9;97.9;96.8;873;150.7;172.2;312;229;160.3;75.0;63;126.3;12.1;3.7;1.8;29.0;0.2;3.4;1.9;7.8;125;40;28;0.05;0.02;;;;;;;;;;
künstlich getrocknet;KG;DT14-d;erster;4;880;5.3;5.3;9.2;90.5;87.7;876;137.3;185.5;321;240;151.9;70.1;63;125.0;12.1;3.4;1.7;26.6;0.2;3.3;1.7;7.0;125;33;26;0.05;0.02;;;;;;;;;;
künstlich getrocknet;KG;DT15-d;erster;5;880;4.8;4.7;8.6;84.2;82.3;875;129.2;191.4;330;250;152.1;65.0;62;125.0;12.1;3.1;1.6;23.2;0.2;2.9;1.5;6.5;75;26;25;0.05;0.02;;;;;;;;;;
künstlich getrocknet;Knaulgras;DG11-d;erster;1;880;6.6;6.8;11.1;137.3;170.2;896;255.6;186.1;457;227;177.5;78.8;63;103.9;3.7;4.9;1.7;42.5;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Knaulgras;DG12-d;erster;2;880;6.4;6.6;10.9;123.0;134.4;902;203.3;213.5;475;241;146.2;78.1;61;97.9;3.2;4.5;1.5;42.1;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Knaulgras;DG13-d;erster;3;880;6.0;6.1;10.3;106.8;93.2;908;142.7;263.0;540;287;148.8;75.4;57;91.6;2.8;3.8;1.4;37.6;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Knaulgras;DG14-d;erster;4;880;5.7;5.7;9.8;93.4;71.5;910;109.3;309.9;596;340;101.6;71.2;55;89.8;2.5;3.4;1.2;35.1;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Knaulgras;DG15-d;erster;5;880;5.3;5.3;9.3;83.4;57.6;916;89.8;329.2;619;361;113.1;67.3;54;83.8;2.3;3.0;1.2;32.5;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Englisches Raigras ;LP11-d;erster;1;880;6.7;7.0;11.2;123.0;117.0;911;176.0;172.3;385;203;310.7;81.2;59;87.9;3.6;3.9;1.5;32.1;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Englisches Raigras ;LP12-d;erster;2;880;6.7;7.0;11.2;119.4;110.7;914;167.8;187.0;403;218;240.7;81.1;59;85.2;3.5;4.1;1.4;36.1;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Englisches Raigras ;LP13-d;erster;3;880;6.5;6.8;10.9;105.8;81.6;916;123.3;219.0;444;248;253.9;79.2;56;83.4;3.3;3.7;1.2;32.3;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Englisches Raigras ;LP14-d;erster;4;880;6.1;6.3;10.4;92.2;57.5;920;88.6;256.6;519;294;206.5;74.9;53;79.7;3.2;3.3;1.1;30.5;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Englisches Raigras ;LP15-d;erster;5;880;5.2;5.1;9.1;76.8;44.0;923;69.3;306.3;578;341;166.9;65.7;52;76.1;2.9;2.7;1.1;26.5;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Italienisches Raigras;LM11-d;erster;1;880;6.7;7.0;11.2;114.4;97.6;908;148.4;156.6;343;187;281.3;82.0;58;91.9;4.4;3.6;1.5;34.9;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Italienisches Raigras;LM12-d;erster;2;880;6.5;6.8;11.0;102.8;75.0;911;115.8;184.0;396;227;249.2;79.7;55;88.4;4.2;3.2;1.4;32.1;;;;;;;;;;;;;;;;;;;
